weapon_id,weapon_name,tier,run,seed,final_wave,combat_time,kills,level,alloy,hp,died,phase
storm-rifle,风暴步枪,novice,1,57127,7,371.1,86,3,95,21.93,False,combat
storm-rifle,风暴步枪,novice,2,57128,6,291.94,80,3,71,0.0,True,paused
plague-sprayer-standard,瘟疫喷射器,novice,1,100126,5,241.28,182,4,124,0.0,True,paused
plague-sprayer-standard,瘟疫喷射器,novice,2,100127,5,236.45,155,4,117,0.0,True,paused
frost-beamer-standard,霜束发射器,novice,1,8496,5,253.0,87,3,74,0.0,True,paused
frost-beamer-standard,霜束发射器,novice,2,8497,7,339.74,82,3,89,0.0,True,paused
echo-bow-standard,回声弓,standard,1,38479,5,247.52,91,2,56,0.0,True,paused
echo-bow-standard,回声弓,standard,2,38480,5,263.45,98,3,64,0.0,True,paused
split-barrel,裂变枪管,standard,1,14116,6,294.38,380,6,166,0.0,True,paused
split-barrel,裂变枪管,standard,2,14117,7,369.38,427,6,211,100.72,False,combat
mirror-prism-standard,镜像棱镜,standard,1,11262,5,226.28,196,4,87,0.0,True,paused
mirror-prism-standard,镜像棱镜,standard,2,11263,7,370.62,259,5,140,132.89,False,combat
quantum-loom-standard,量子织机,standard,1,84782,7,368.98,196,4,128,91.24,False,combat
quantum-loom-standard,量子织机,standard,2,84783,7,369.8,191,5,136,124.96,False,combat
ion-lance-standard,离子长枪,boss_gate,1,89511,5,284.0,154,4,74,0.0,True,paused
ion-lance-standard,离子长枪,boss_gate,2,89512,5,219.04,116,3,55,0.0,True,paused
thorn-crossbow-standard,荆棘连弩,boss_gate,1,44529,7,372.4,105,3,87,94.05,False,combat
thorn-crossbow-standard,荆棘连弩,boss_gate,2,44530,6,296.18,93,3,75,0.0,True,paused
rail-cannon-standard,磁轨炮,boss_gate,1,12305,5,242.37,77,3,52,0.0,True,paused
rail-cannon-standard,磁轨炮,boss_gate,2,12306,5,256.33,114,4,82,0.0,True,paused
void-needle-standard,虚空针,boss_gate,1,15261,7,338.18,107,3,91,0.0,True,paused
void-needle-standard,虚空针,boss_gate,2,15262,7,358.85,122,3,89,0.0,True,paused
meteor-launcher-standard,流星发射器,boss_clear,1,65916,5,240.32,152,4,59,0.0,True,paused
meteor-launcher-standard,流星发射器,boss_clear,2,65917,5,242.28,140,3,48,0.0,True,paused
orbital-drone,轨道无人机,boss_clear,1,56191,5,240.8,67,3,63,0.0,True,paused
orbital-drone,轨道无人机,boss_clear,2,56192,6,287.34,85,3,68,0.0,True,paused
gravity-hammer-standard,重力锤,boss_clear,1,105836,5,244.9,82,3,49,0.0,True,paused
gravity-hammer-standard,重力锤,boss_clear,2,105837,5,245.03,87,3,71,0.0,True,paused
