weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,冲锋枪,novice,novice,1,57127,5,229.52,262,7,99,3,combat,136.39,False,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,5,227.7,396,8,204,4,combat,245.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,2,104.52,61,3,37,0,paused,0.0,True,
echo-bow-standard,回声弓,standard,standard,1,38479,3,118.12,101,4,59,0,paused,0.0,True,
split-barrel,裂变枪管,standard,standard,1,14116,5,226.62,381,8,164,5,combat,154.97,False,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,3,138.72,164,5,102,0,paused,0.0,True,
quantum-loom-standard,量子织机,standard,standard,1,84782,4,182.23,282,7,117,2,paused,0.0,True,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,3,131.45,154,5,95,1,paused,0.0,True,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,5,228.75,381,8,33,4,level-up,91.82,False,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,3,128.43,141,5,32,1,paused,0.0,True,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,3,150.8,195,6,73,0,paused,0.0,True,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,3,142.47,182,5,33,1,paused,0.0,True,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,5,225.72,241,6,84,2,paused,0.0,True,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,2,85.42,58,3,28,1,paused,0.0,True,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,4,187.13,292,7,57,3,paused,0.0,True,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,3,126.62,175,5,112,0,paused,0.0,True,
webmaster-standard,织网支配者,standard,standard,1,20263,0,0.0,0,0,0,0,error,0.0,True,
