weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,冲锋枪,novice,novice,1,57127,5,227.87,380,8,234,3,combat,96.88,False,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,5,225.97,388,8,84,5,combat,132.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,3,134.92,116,4,51,0,paused,0.0,True,
echo-bow-standard,回声弓,standard,standard,1,38479,3,148.17,177,5,29,1,paused,0.0,True,
split-barrel,裂变枪管,standard,standard,1,14116,4,225.4,381,8,45,4,level-up,39.41,False,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,3,145.12,195,6,93,1,paused,0.0,True,
quantum-loom-standard,量子织机,standard,standard,1,84782,5,227.77,383,8,143,1,combat,25.21,False,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,5,228.0,313,7,136,4,combat,68.73,False,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,5,225.93,378,8,230,8,combat,215.0,False,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,3,151.03,167,5,73,0,paused,0.0,True,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,3,144.17,177,5,32,1,paused,0.0,True,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,3,171.78,263,7,76,1,paused,0.0,True,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,5,230.83,168,6,56,1,combat,153.52,False,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,3,125.63,106,4,72,0,paused,0.0,True,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,0,0.0,0,0,0,0,error,0.0,True,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,0,0.0,0,0,0,0,error,0.0,True,
webmaster-standard,织网支配者,standard,standard,1,20263,4,228.77,272,7,159,4,combat,232.0,False,
