weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,冲锋枪,novice,novice,1,57127,7,363.42,792,11,306,7,paused,0.0,True,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,11,567.18,3411,19,4268,19,combat,529.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,10,569.65,1442,14,674,17,combat,390.0,False,
echo-bow-standard,回声弓,standard,standard,1,38479,0,0.0,0,0,0,0,unknown,0.0,True,socket is already closed.
split-barrel,裂变枪管,standard,standard,1,14116,0,0.0,0,0,0,0,error,0.0,True,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,0,0.0,0,0,0,0,error,0.0,True,
quantum-loom-standard,量子织机,standard,standard,1,84782,0,0.0,0,0,0,0,error,0.0,True,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,0,0.0,0,0,0,0,error,0.0,True,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,0,0.0,0,0,0,0,error,0.0,True,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,0,0.0,0,0,0,0,error,0.0,True,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,0,0.0,0,0,0,0,error,0.0,True,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,0,0.0,0,0,0,0,error,0.0,True,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,0,0.0,0,0,0,0,error,0.0,True,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,0,0.0,0,0,0,0,error,0.0,True,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,0,0.0,0,0,0,0,error,0.0,True,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,0,0.0,0,0,0,0,error,0.0,True,
webmaster-standard,织网支配者,standard,standard,1,20263,0,0.0,0,0,0,0,error,0.0,True,
