weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,风暴步枪,novice,novice,1,57127,8,420.53,364,8,83,3,paused,0.0,True,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,8,401.28,681,10,156,5,paused,0.0,True,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,8,432.77,389,8,212,3,paused,0.0,True,
echo-bow-standard,回声弓,standard,standard,1,38479,8,404.43,769,10,200,6,paused,0.0,True,
split-barrel,裂变枪管,standard,standard,1,14116,8,412.72,753,11,255,6,paused,0.0,True,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,7,381.7,846,11,225,6,paused,0.0,True,
quantum-loom-standard,量子织机,standard,standard,1,84782,9,490.72,875,11,217,6,paused,0.0,True,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,7,383.53,754,10,149,6,paused,0.0,True,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,8,436.07,916,11,231,6,paused,0.0,True,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,8,422.32,618,9,141,5,paused,0.0,True,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,10,535.0,557,9,357,3,paused,0.0,True,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,10,741.08,836,10,389,6,paused,0.0,True,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,10,600.1,370,8,228,6,paused,0.0,True,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,9,466.7,367,8,46,4,paused,0.0,True,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,9,462.97,885,11,454,6,paused,0.0,True,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,8,391.08,693,10,47,6,paused,0.0,True,
webmaster-standard,织网支配者,standard,standard,1,20263,10,741.03,806,10,247,6,paused,0.0,True,
