weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,风暴步枪,novice,novice,1,57127,6,287.53,297,7,71,2,combat,237.0,False,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,6,284.72,524,9,210,5,combat,265.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,6,286.6,513,9,231,6,combat,202.0,False,
echo-bow-standard,回声弓,standard,standard,1,38479,5,286.02,398,8,37,4,combat,284.0,False,
split-barrel,裂变枪管,standard,standard,1,14116,6,286.22,532,9,146,4,combat,407.0,False,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,6,283.9,525,9,132,5,combat,274.0,False,
quantum-loom-standard,量子织机,standard,standard,1,84782,6,285.0,519,9,205,6,combat,281.0,False,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,6,285.22,508,9,299,5,combat,202.0,False,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,6,283.55,549,9,55,6,combat,202.0,False,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,6,284.4,504,9,197,6,combat,344.0,False,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,6,284.27,498,9,251,6,combat,426.0,False,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,6,286.9,497,8,200,3,combat,187.77,False,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,6,285.95,349,7,114,2,combat,321.0,False,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,6,285.4,391,8,154,5,combat,148.68,False,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,6,284.77,562,9,127,5,combat,230.0,False,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,6,283.25,525,9,98,6,combat,321.3,False,
webmaster-standard,织网支配者,standard,standard,1,20263,6,280.0,457,8,411,6,combat,386.0,False,
