weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,冲锋枪,novice,novice,1,57127,5,227.62,402,8,116,3,combat,72.0,False,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,5,226.48,393,8,145,4,combat,111.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,4,229.08,354,7,127,2,combat,51.76,False,
echo-bow-standard,回声弓,standard,standard,1,38479,5,225.97,382,7,173,5,combat,213.9,False,
split-barrel,裂变枪管,standard,standard,1,14116,5,228.02,393,8,260,4,combat,120.0,False,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,5,228.53,394,8,187,5,combat,72.0,False,
quantum-loom-standard,量子织机,standard,standard,1,84782,5,228.27,398,8,84,4,combat,268.88,False,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,5,224.5,382,8,251,5,combat,101.69,False,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,5,228.12,380,8,143,4,combat,72.0,False,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,4,194.45,312,7,140,3,paused,0.0,True,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,5,229.95,402,8,75,2,combat,171.5,False,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,5,228.1,386,7,109,4,combat,72.0,False,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,5,225.75,353,7,339,5,combat,132.0,False,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,4,182.93,293,7,135,1,paused,0.0,True,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,5,229.07,394,9,67,5,level-up,139.45,False,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,5,227.17,377,8,161,3,combat,163.0,False,
webmaster-standard,织网支配者,standard,standard,1,20263,5,225.78,385,8,73,6,combat,284.34,False,
