weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,冲锋枪,novice,novice,1,57127,5,227.48,391,8,176,3,combat,147.0,False,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,5,228.62,401,8,62,4,combat,163.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,5,227.17,377,8,133,5,combat,72.0,False,
echo-bow-standard,回声弓,standard,standard,1,38479,5,227.38,389,8,171,2,combat,110.99,False,
split-barrel,裂变枪管,standard,standard,1,14116,5,228.4,391,8,102,5,combat,437.0,False,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,5,228.75,396,8,174,2,combat,72.0,False,
quantum-loom-standard,量子织机,standard,standard,1,84782,4,228.77,388,8,121,3,combat,105.15,False,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,5,226.62,389,8,36,5,combat,255.0,False,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,5,227.13,388,8,145,7,combat,288.95,False,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,5,226.3,385,8,44,6,combat,145.0,False,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,5,228.05,390,8,112,4,combat,72.0,False,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,0,0.0,0,0,0,0,error,0.0,True,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,0,0.0,0,0,0,0,error,0.0,True,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,4,181.67,284,7,62,1,paused,0.0,True,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,5,227.15,388,8,72,5,combat,146.6,False,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,5,227.77,402,8,262,3,combat,66.03,False,
webmaster-standard,织网支配者,standard,standard,1,20263,5,229.55,392,8,57,4,combat,261.0,False,
