weapon_id,weapon_name,tier,target_profile,run,seed,final_wave,combat_time,kills,level,alloy,items,phase,hp,died,error
storm-rifle,冲锋枪,novice,novice,1,57127,10,555.84,237,6,122,2,combat,120.0,False,
plague-sprayer-standard,瘟疫喷射器,novice,novice,1,100126,10,554.77,237,6,79,3,combat,236.0,False,
frost-beamer-standard,霜束发射器,novice,novice,1,8496,10,555.84,223,6,16,2,combat,142.05,False,
echo-bow-standard,回声弓,standard,standard,1,38479,10,555.84,111,4,106,1,combat,60.01,False,
split-barrel,裂变枪管,standard,standard,1,14116,10,555.84,86,4,61,1,combat,132.0,False,
mirror-prism-standard,镜像棱镜,standard,standard,1,11262,10,555.63,218,6,28,4,combat,149.0,False,
quantum-loom-standard,量子织机,standard,standard,1,84782,10,555.28,194,6,50,3,combat,114.0,False,
ion-lance-standard,离子长枪,boss_gate,boss_gate,1,89511,10,555.84,79,4,49,1,combat,163.0,False,
thorn-crossbow-standard,荆棘连弩,boss_gate,boss_gate,1,44529,10,551.15,1999,17,1638,17,combat,464.0,False,
rail-cannon-standard,磁轨炮,boss_gate,boss_gate,1,12305,10,555.84,30,2,26,1,combat,72.0,False,
void-needle-standard,虚空针,boss_gate,boss_gate,1,15261,10,555.81,93,4,62,2,combat,305.0,False,
meteor-launcher-standard,流星发射器,boss_clear,boss_clear,1,65916,10,555.84,101,4,88,1,combat,120.0,False,
orbital-drone,轨道无人机,boss_clear,boss_clear,1,56191,10,555.84,83,4,91,1,combat,72.0,False,
gravity-hammer-standard,重力锤,boss_clear,boss_clear,1,105836,10,555.84,44,3,84,1,combat,72.0,False,
void-tearer-standard,虚空撕裂者,standard,standard,1,46577,10,553.66,682,10,75,10,combat,453.0,False,
icefire-judge-standard,冰狱审判,standard,standard,1,53766,10,555.23,204,6,115,2,combat,240.05,False,
webmaster-standard,织网支配者,standard,standard,1,20263,10,555.84,204,6,118,1,combat,204.0,False,
